Tag1,Tag2,Num_Occurrence
online-advertising,prior-art-request,10
legal,status,1
patent-lifetime,us4820036,1
german,research,1
design-patent,us3281863,1
uspto,utility,1
prior-art-request,us6981007,1
office-action,patent-applications,2
design-patent,freedom-to-operate,3
advisory,final,1
google-patents,wo2004085005,1
aia,transitional-application,1
internet,security,1
time-stamp,video,1
uav,weather,1
api,uspto,3
infringement,post-grant,1
licensing,prior-art,2
european,software,9
pct,us,3
response,unity,1
patentability,provisional-application,10
expired,expired-patent,1
citation,number,1
decision,new,1
ownership,software,1
prior-art-request,suspension,1
patent-applications,software,8
encrypted-mail,secure-messaging,1
method,us7873522,1
prior-art-request,us20130212067,1
machine-learning,patentability,1
business-methods,expiration,1
provisional-application,provisonal,1
healthcare,us20120226507,1
inventorship,process,2
prior-art-request,us20120253902,1
claim-construction,us20130206605a1,1
mobile-phone,obviousness,1
attorney,pro-se,4
canada,international,3
apple,us20130339891,1
capitalone,us20120290389,1
modular,prior-art,1
ibm,us20120323879,1
prior-art,search-report,1
disclosure,provisional-application,2
abandoned,similar,1
european,licensing,1
inventorship,stolen,1
ep1646287b1,prior-art,1
india,software,1
expired-patent,patent-applications,1
3d,uspto,1
methodology,software,2
prior-art-request,us8576051,1
pro-se,system,1
patent-pending,provisional,3
data-processing-vehicles,us8108092,1
non-publication,patent-pending,1
pre-grant,us20120284143a1,1
change,web,1
application,design,1
notice,reapply,1
block,diagrams,1
prior-art,us20120222429,1
prior-art,us7930197,1
table,usd697343,1
colon,drafting,1
claim-construction,expiry,1
filing,pro-se,12
design-patent,patent-infringement,24
gpl,license,1
clasification,us-class,1
claims,us2738257,1
d668263,design-patent,1
law,protocol,1
data-processing-language,patentability,2
non-publication,usa,1
us6413211,uspto,1
prior-art,us7795768,1
litigation,us7620565,1
patent-sale,sale,1
merge,mobile,1
date,epo,1
extraction,legal,1
continuation-in-part,priority,1
invention,medicine,1
uspto,written-description,1
inequitable-conduct,provisional-application,1
copyright,freedom-to-operate,1
fees,pro-se,1
reexamination,software,1
amazon,us8676045,1
invalidation,us5693489,1
handle,old,1
application,wipo,1
entry-substantive-examination,inpadoc,1
development,software,1
accept,embodiments,1
attorney,search,1
citation,design-patent,1
general,method,1
microsoft,us8416692,1
